fiscal_year,service,branch,profile_id,profile,fund_type,fund,approved
2023,Yellowhead Trail Freeway Conversion,Infrastructure Delivery,24-20-9350,Yellowhead Trail - St Albert Trail to 97 Street,Developer / Partner Financing,Developer Financing,558000.00
2023,Yellowhead Trail Freeway Conversion,Infrastructure Delivery,24-20-9350,Yellowhead Trail - St Albert Trail to 97 Street,Grants,Federal Bldg Canada Fund,8043000.00
2023,Yellowhead Trail Freeway Conversion,Infrastructure Delivery,24-20-9350,Yellowhead Trail - St Albert Trail to 97 Street,Grants,Provincial BCF - matching,9635000.00
2023,Yellowhead Trail Freeway Conversion,Infrastructure Delivery,24-20-9350,Yellowhead Trail - St Albert Trail to 97 Street,Tax-Supported Debt,Tax-Supported Debt,88026000.00
2023,Yellowhead Trail Freeway Conversion,Infrastructure Delivery,CM-99-9600,Yellowhead Trail Freeway Conversion: Project Delivery,Grants,Federal Bldg Canada Fund,440000.00
2023,Yellowhead Trail Freeway Conversion,Infrastructure Delivery,CM-99-9600,Yellowhead Trail Freeway Conversion: Project Delivery,Grants,Provincial BCF - matching,4476000.00
2023,Yellowhead Trail Freeway Conversion,Infrastructure Delivery,CM-99-9600,Yellowhead Trail Freeway Conversion: Project Delivery,Tax-Supported Debt,Tax-Supported Debt,-4886000.00
2024,Blatchford Redevelopment,Blatchford Redevelopment Office,CM-83-0001,District Energy Network Strategy and District Energy Nodes,Tax-Supported Debt,Tax-Supported Debt,820000.00
2024,Blatchford Redevelopment,Blatchford Redevelopment Project,17-02-2107,Blatchford District Energy System [DES],Grants,NRCan SREPs Grant - Fed,152000.00
2024,Blatchford Redevelopment,Blatchford Redevelopment Project,17-02-2107,Blatchford District Energy System [DES],Tax-Supported Debt,Self Supporting-Tax Guaranteed,488000.00
2024,Blatchford Redevelopment,Blatchford Redevelopment Project,14-02-2106,Blatchford Redevelopment Implementation,Retained Earnings,Blatchford Lands Retained Earnings,27650000.00
2024,Building Renewal,Infrastructure Delivery,17-99-2001,Century Place Base Bldg Rehab & Tenant Improvements,Pay-As-You-Go (PAYG),Pay-As-You-Go,45000.00
2024,Building Renewal,Infrastructure Delivery,15-75-0106,Davies Site Richard Paterson Garage Building Rehabilitation,Pay-As-You-Go (PAYG),Pay-As-You-Go,72000.00
2024,Building Renewal,Infrastructure Delivery,15-99-3030,Shaw Conference Centre Renewal,Pay-As-You-Go (PAYG),Pay-As-You-Go,12000.00
2024,Building Renewal,Infrastructure Planning and Design,CM-10-0001,Climate Resilient City Facility Upgrades,Tax-Supported Debt,Tax-Supported Debt,29000.00
2024,Building Renewal,Infrastructure Planning and Design,CM-19-0000,Facilities - Minor Renewal Program,Grants,Local Government Fiscal Framework,2398000.00
2024,Building Renewal,Infrastructure Planning and Design,CM-19-0000,Facilities - Minor Renewal Program,Pay-As-You-Go (PAYG),Pay-As-You-Go,1129000.00
2024,Building Renewal,Infrastructure Planning and Design,CM-19-0000,Facilities - Minor Renewal Program,Reserves,City's St. Francis Xavier Reserve,507000.00
2024,Building Renewal,Infrastructure Planning and Design,CM-12-0000,Facility: Service Delivery - Renewal,Grants,Local Government Fiscal Framework,2294000.00
2024,Building Renewal,Infrastructure Planning and Design,CM-12-0000,Facility: Service Delivery - Renewal,Grants,Munc Sustain. Initiative - MSI,-160000.00
2024,Building Renewal,Infrastructure Planning and Design,CM-12-0000,Facility: Service Delivery - Renewal,Grants,Other Grants - Federal,44000.00
2024,Building Renewal,Infrastructure Planning and Design,CM-12-0000,Facility: Service Delivery - Renewal,Pay-As-You-Go (PAYG),Pay-As-You-Go,3163000.00
2024,Building Renewal,Infrastructure Planning and Design,CM-13-0000,Facility: Service Support - Renewal,Grants,Local Government Fiscal Framework,1364000.00
2024,Building Renewal,Infrastructure Planning and Design,CM-13-0000,Facility: Service Support - Renewal,Pay-As-You-Go (PAYG),Pay-As-You-Go,253000.00
2024,Building Renewal,Infrastructure Planning and Design,CM-10-1012,On-Site Microgeneration Solar Photovoltaics,Tax-Supported Debt,Tax-Supported Debt,1140000.00
2024,Corporate Support,Development Services,CM-17-2040,Urban Planning & Economy Service Transformation,Reserves,Planning and Development Reserve,1368000.00
2024,Corporate Support,Fleet and Facility Services,CM-17-2000,Emissions Neutral City Fleet and Equipment,Pay-As-You-Go (PAYG),Pay-As-You-Go,809000.00
2024,Corporate Support,Fleet and Facility Services,CM-25-3002,"Fleet Fluid Storage, Dispensing and Disposal Systems",Pay-As-You-Go (PAYG),Pay-As-You-Go,133000.00
2024,Corporate Support,Fleet and Facility Services,3004-12-25T00:00:00.000,Fleet Underground Oil Tanks Replacement,Pay-As-You-Go (PAYG),Pay-As-You-Go,4000.00
2024,Corporate Support,Fleet and Facility Services,CM-25-3005,Tools & Shop Equipment Program,Pay-As-You-Go (PAYG),Pay-As-You-Go,201000.00
2024,Corporate Support,Fleet and Facility Services,CM-25-1001,Vehicle and Equipment Replacement,Pay-As-You-Go (PAYG),Pay-As-You-Go,395000.00
2024,Corporate Support,Fleet and Facility Services,CM-25-1001,Vehicle and Equipment Replacement,Reserves,Fleet Services Replacement Rsv,20733000.00
2024,Corporate Support,Fleet and Facility Services,CM-25-1001,Vehicle and Equipment Replacement,Reserves,Vehicle for Hire,439000.00
2024,Corporate Support,Fleet and Facility Services,CM-25-3003,Vehicle and Equipment Service Lift Program,Pay-As-You-Go (PAYG),Pay-As-You-Go,212000.00
2024,Corporate Support,Infrastructure Delivery,24-10-9411,Kathleen Andrews Transit Garage Solar PV & Battery Projects,Tax-Supported Debt,Tax-Supported Debt,921000.00
2024,Corporate Support,Infrastructure Planning and Design,19-10-1013,Ambleside Integrated Site - Phase 1,Pay-As-You-Go (PAYG),Pay-As-You-Go,955000.00
2024,Corporate Support,Infrastructure Planning and Design,19-10-1013,Ambleside Integrated Site - Phase 1,Tax-Supported Debt,Tax-Supported Debt,13042000.00
2024,Corporate Support,Infrastructure Planning and Design,CM-10-1010,Facility: Planning and Design - Growth,Pay-As-You-Go (PAYG),Pay-As-You-Go,1265000.00
2024,Corporate Support,Infrastructure Planning and Design,CM-99-9000,Infrastructure Delivery - Growth,Developer / Partner Financing,Partnership Funding,79000.00
2024,Corporate Support,Infrastructure Planning and Design,CM-99-9000,Infrastructure Delivery - Growth,Pay-As-You-Go (PAYG),Pay-As-You-Go,1099000.00
2024,Corporate Support,Infrastructure Planning and Design,CM-99-0001,"Infrastructure, Planning and Design - Composite Growth",Pay-As-You-Go (PAYG),Pay-As-You-Go,-732000.00
2024,Corporate Support,Open City and Technology,19-18-1901,Information Security and Disaster Recovery Enhancements,Pay-As-You-Go (PAYG),Pay-As-You-Go,601000.00
2024,Corporate Support,Open City and Technology,19-51-1904,Next Generation 9-1-1 (NG911) IP Call Handling,Pay-As-You-Go (PAYG),Pay-As-You-Go,888000.00
2024,Corporate Support,Open City and Technology,24-18-1000,OCT Cybersecurity Project,Pay-As-You-Go (PAYG),Pay-As-You-Go,2305000.00
2024,Corporate Support,Open City and Technology,19-18-1903,Recreation and Attractions Management (RAMS) Program,Pay-As-You-Go (PAYG),Pay-As-You-Go,1000.00
2024,Corporate Support,Open City and Technology,23-51-1905,Taxation Assessment Collections System (TACS) Transformation,Pay-As-You-Go (PAYG),Pay-As-You-Go,492000.00
2024,Corporate Support,Open City and Technology,CM-18-1510,Technology Applications - Renewal,Pay-As-You-Go (PAYG),Pay-As-You-Go,1447000.00
2024,Corporate Support,Open City and Technology,CM-18-1514,Technology Implementation - Growth,Pay-As-You-Go (PAYG),Pay-As-You-Go,1249000.00
2024,Corporate Support,Open City and Technology,CM-18-1515,Technology Infrastructure - Renewal,Pay-As-You-Go (PAYG),Pay-As-You-Go,5739000.00
2024,Corporate Support,Open City and Technology,CM-18-1515,Technology Infrastructure - Renewal,Reserves,LRT Reserve,74000.00
2024,Corporate Support,Parks and Roads Services,CM-33-3001,Commemorative Programs,Developer / Partner Financing,Partnership Funding,118000.00
2024,Corporate Support,Parks and Roads Services,CM-33-3001,Commemorative Programs,Pay-As-You-Go (PAYG),Pay-As-You-Go,50000.00
2024,Corporate Support,Parks and Roads Services,CM-66-0013,Parks and Roads Services - Equipment Renewal,Pay-As-You-Go (PAYG),Pay-As-You-Go,710000.00
2024,Corporate Support,Service Innovation and Performance,CM-50-0010,Business Intelligence and Analytics - Capital Renewal,Pay-As-You-Go (PAYG),Pay-As-You-Go,946000.00
2024,Economic Development,Capital City Downtown CRL,CM-74-4100,Downtown Community Revitalization Levies Delivery,Community Revitalization Levy,Debt CRL Downtown,542000.00
2024,Economic Development,Capital City Downtown CRL,15-74-4109,Future Phase Green and Walkable - Other Streets,Community Revitalization Levy,Debt CRL Downtown,-37000.00
2024,Economic Development,Capital City Downtown CRL,15-74-4104,Warehouse Campus Neighbourhood Central Park Land Acquisition,Community Revitalization Levy,Debt CRL Downtown,65000.00
2024,Economic Development,Financial Services,11-17-0099,Edmonton Arena,Developer / Partner Financing,Partnership Funding,117000.00
2024,Economic Development,Financial Services,11-17-0099,Edmonton Arena,Reserves,Financial Stabilization Resrv.,117000.00
2024,Economic Development,Infrastructure Delivery,21-12-0320,Edmonton Convention Centre Rehabilitation,Grants,Local Government Fiscal Framework,6675000.00
2024,Economic Development,Infrastructure Delivery,21-12-0320,Edmonton Convention Centre Rehabilitation,Pay-As-You-Go (PAYG),Pay-As-You-Go,268000.00
2024,Economic Development,Infrastructure Delivery,23-10-9316,Edmonton Exhibition Lands Racetrack Infield Improvements,Pay-As-You-Go (PAYG),Pay-As-You-Go,17000.00
2024,Economic Development,Infrastructure Planning and Design,19-17-0601,River Crossing/West Rossdale Redevelopment,Retained Earnings,Land Fund Retained Earnings,551000.00
2024,Economic Development,Planning and Environment Services,15-17-3117,TOD Stadium Station Plan Street Network,Pay-As-You-Go (PAYG),Pay-As-You-Go,147000.00
2024,Economic Development,The Quarters Downtown CRL,15-74-4031,The Quarters Downtown - Phase II,Community Revitalization Levy,Debt CRL Quarters,25000.00
2024,Economic Development,The Quarters Downtown CRL,15-74-4031,The Quarters Downtown - Phase II,Other Misc Financing,Other,2000.00
2024,Housing,Infrastructure Delivery,24-10-9412,Canora Supportive Housing,Reserves,Financial Stabilization Resrv.,4946000.00
2024,Housing,Infrastructure Delivery,24-10-9413,Garneau Supportive Housing,Pay-As-You-Go (PAYG),Pay-As-You-Go,2805000.00
2024,Housing,Infrastructure Delivery,24-10-9413,Garneau Supportive Housing,Reserves,Financial Stabilization Resrv.,241000.00
2024,Housing,Infrastructure Delivery,23-10-9318,Holyrood Supportive Housing,Grants,Other Grants - Provincial,3994000.00
2024,Housing,Infrastructure Delivery,23-10-9318,Holyrood Supportive Housing,Grants,Rapid Housing Initiative (Federal),9178000.00
2024,Housing,Infrastructure Delivery,23-10-9318,Holyrood Supportive Housing,Reserves,Financial Stabilization Resrv.,4687000.00
2024,Housing,Infrastructure Delivery,21-10-9001,Inglewood Supportive Housing,Pay-As-You-Go (PAYG),Pay-As-You-Go,7000.00
2024,Housing,Infrastructure Delivery,21-10-9007,King Edward Park Supportive Housing,Pay-As-You-Go (PAYG),Pay-As-You-Go,2000.00
2024,Housing,Social Development,19-90-4100,Affordable Housing Land Acquisition & Site Development,Pay-As-You-Go (PAYG),Pay-As-You-Go,-3131000.00
2024,Housing,Social Development,CM-90-1000,Housing Accelerator Fund Initiatives and Related Projects,Grants,Housing Accelerator Fund,254000.00
2024,Land,Real Estate,CM-17-5046,Edmonton Exhibition Lands,Pay-As-You-Go (PAYG),Pay-As-You-Go (non-TCA),242000.00
2024,Land,Real Estate,CM-17-5046,Edmonton Exhibition Lands,Retained Earnings,Land Fund Retained Earnings,584000.00
2024,Land,Real Estate,19-16-5055,Heritage Valley Land Development,Retained Earnings,Land Fund Retained Earnings,7620000.00
2024,Land,Real Estate,CM-16-2010,Industrial-Commercial-Investment Land Development,Retained Earnings,Land Fund Retained Earnings,-200000.00
2024,Land,Real Estate,CM-16-5110,Real Estate Investment Purchase,Retained Earnings,Land Fund Retained Earnings,-8000.00
2024,Land,Real Estate,CM-17-5120,Real Estate Transportation Legacy Land Acquisition,Retained Earnings,Land Fund Retained Earnings,68000.00
2024,Land,Real Estate,CM-16-2020,Residential/Mixed-Use Land Development,Retained Earnings,Land Fund Retained Earnings,9666000.00
2024,Land,Real Estate,CM-16-2025,Residential/Mixed-Use Land Development Acquisition,Retained Earnings,Land Fund Retained Earnings,403000.00
2024,Land,Real Estate,CM-17-5047,River Crossing Redevelopment,Retained Earnings,Land Fund Retained Earnings,58000.00
2024,Land,Real Estate,CM-17-5045,Transforming Surplus City Lands,Retained Earnings,Land Fund Retained Earnings,1972000.00
2024,LRT Expansion,Edmonton Transit Service,CM-66-3300,LRT Signals and Electrification Renewal,Grants,Canada's Rail Safety Improvement Program (RSIP),23000.00
2024,LRT Expansion,Edmonton Transit Service,CM-66-3300,LRT Signals and Electrification Renewal,Pay-As-You-Go (PAYG),Pay-As-You-Go,818000.00
2024,LRT Expansion,Edmonton Transit Service,CM-66-3400,LRV Fleet & Equipment Renewal,Pay-As-You-Go (PAYG),Pay-As-You-Go,2002000.00
2024,LRT Expansion,Edmonton Transit Service,CM-61-3235,Transit Facility and ROW Renewal,Pay-As-You-Go (PAYG),Pay-As-You-Go,154000.00
2024,LRT Expansion,LRT Expansion and Renewal,24-21-9130,129 Avenue Crossing Widening,Grants,Canada's Rail Safety Improvement Program (RSIP),67000.00
2024,LRT Expansion,LRT Expansion and Renewal,24-21-9130,129 Avenue Crossing Widening,Grants,Local Government Fiscal Framework,25000.00
2024,LRT Expansion,LRT Expansion and Renewal,24-21-9130,129 Avenue Crossing Widening,Pay-As-You-Go (PAYG),Pay-As-You-Go,29000.00
2024,LRT Expansion,LRT Expansion and Renewal,21-21-9110,129 Avenue Special Trackworks (Crossover),Pay-As-You-Go (PAYG),Pay-As-You-Go,2200000.00
2024,LRT Expansion,LRT Expansion and Renewal,16-66-7018,Capital Line South LRT: Century Park to Ellersie Road,Grants,Federal - Investing in Canada Infrastructure Prgm (ICIP),47207000.00
2024,LRT Expansion,LRT Expansion and Renewal,16-66-7018,Capital Line South LRT: Century Park to Ellersie Road,Grants,Provincial ICIP - matching,48139000.00
2024,LRT Expansion,LRT Expansion and Renewal,16-66-7018,Capital Line South LRT: Century Park to Ellersie Road,Tax-Supported Debt,Tax-Supported Debt,27662000.00
2024,LRT Expansion,LRT Expansion and Renewal,24-24-9420,Coliseum LRT Bridge (B151) Minor Rehabilitation,Grants,Canada Community-Building Fund (CCBF),665000.00
2024,LRT Expansion,LRT Expansion and Renewal,24-24-9420,Coliseum LRT Bridge (B151) Minor Rehabilitation,Pay-As-You-Go (PAYG),Pay-As-You-Go,70000.00
2024,LRT Expansion,LRT Expansion and Renewal,21-21-9120,Government Centre LRT Station Electrical System Replacement,Pay-As-You-Go (PAYG),Pay-As-You-Go,109000.00
2024,LRT Expansion,LRT Expansion and Renewal,16-66-7020,LRT Prelim Design: Metro Line: Blatchford to Campbell Rd,Tax-Supported Debt,Tax-Supported Debt,1484000.00
2024,LRT Expansion,LRT Expansion and Renewal,16-66-7013,Metro Line LRT (NAIT - Blatchford) Extension,Grants,Federal - Investing in Canada Infrastructure Prgm (ICIP),5040000.00
2024,LRT Expansion,LRT Expansion and Renewal,16-66-7013,Metro Line LRT (NAIT - Blatchford) Extension,Grants,Provincial ICIP - matching,5081000.00
2024,LRT Expansion,LRT Expansion and Renewal,16-66-7013,Metro Line LRT (NAIT - Blatchford) Extension,Pay-As-You-Go (PAYG),Pay-As-You-Go,402000.00
2024,LRT Expansion,LRT Expansion and Renewal,16-66-7013,Metro Line LRT (NAIT - Blatchford) Extension,Tax-Supported Debt,Tax-Supported Debt,2861000.00
2024,LRT Expansion,LRT Expansion and Renewal,19-10-1011,Stadium LRT Station Upgrade,Pay-As-You-Go (PAYG),Pay-As-You-Go,320000.00
2024,LRT Expansion,LRT Expansion and Renewal,19-10-1011,Stadium LRT Station Upgrade,Tax-Supported Debt,Tax-Supported Debt,14000.00
2024,LRT Expansion,LRT Expansion and Renewal,11-66-1673,Valley Line LRT,Pay-As-You-Go (PAYG),Pay-As-You-Go,44000.00
2024,LRT Expansion,LRT Expansion and Renewal,11-66-1673,Valley Line LRT,Tax-Supported Debt,Tax-Supported Debt,21640000.00
2024,LRT Expansion,LRT Expansion and Renewal,16-66-7017,Valley Line LRT: Downtown to Lewis Farms,Grants,Federal - Investing in Canada Infrastructure Prgm (ICIP),156786000.00
2024,LRT Expansion,LRT Expansion and Renewal,16-66-7017,Valley Line LRT: Downtown to Lewis Farms,Grants,Provincial ICIP - matching,158171000.00
2024,LRT Expansion,LRT Expansion and Renewal,16-66-7017,Valley Line LRT: Downtown to Lewis Farms,Pay-As-You-Go (PAYG),Pay-As-You-Go,10000.00
2024,LRT Expansion,LRT Expansion and Renewal,16-66-7017,Valley Line LRT: Downtown to Lewis Farms,Tax-Supported Debt,Tax-Supported Debt,87045000.00
2024,Neighbourhoods,Building Great Neighbourhoods,23-40-9043,132 Avenue: Fort Road to 97 Street Reconstruction,Pay-As-You-Go (PAYG),Pay-As-You-Go,600000.00
2024,Neighbourhoods,Building Great Neighbourhoods,23-40-9043,132 Avenue: Fort Road to 97 Street Reconstruction,Reserves,Neighborhood Renewal Reserve,7392000.00
2024,Neighbourhoods,Building Great Neighbourhoods,23-40-9044,Allendale Alley Reconstruction,Reserves,Neighborhood Renewal Reserve,3455000.00
2024,Neighbourhoods,Building Great Neighbourhoods,23-40-9031,Baturyn Neighbourhood and Alley Reconstruction,Local Improvements,Local Improvements Property Share,1780000.00
2024,Neighbourhoods,Building Great Neighbourhoods,23-40-9031,Baturyn Neighbourhood and Alley Reconstruction,Pay-As-You-Go (PAYG),Pay-As-You-Go,183000.00
2024,Neighbourhoods,Building Great Neighbourhoods,23-40-9031,Baturyn Neighbourhood and Alley Reconstruction,Reserves,Neighborhood Renewal Reserve,16960000.00
2024,Neighbourhoods,Building Great Neighbourhoods,23-40-9045,Beverly Heights Alley Reconstruction,Reserves,Neighborhood Renewal Reserve,2816000.00
2024,Neighbourhoods,Building Great Neighbourhoods,23-40-9039,Boyle Street Neighborhood Reconstruction,Local Improvements,Local Improvements Property Share,373000.00
2024,Neighbourhoods,Building Great Neighbourhoods,23-40-9039,Boyle Street Neighborhood Reconstruction,Reserves,Neighborhood Renewal Reserve,8633000.00
2024,Neighbourhoods,Building Great Neighbourhoods,25-25-9506,Dunluce Neighbourhood and Alley Renewal,Reserves,Neighborhood Renewal Reserve,3062000.00
2024,Neighbourhoods,Building Great Neighbourhoods,23-40-9040,Gariepy Neighborhood and Alley Reconstruction,Local Improvements,Local Improvements Property Share,781000.00
2024,Neighbourhoods,Building Great Neighbourhoods,23-40-9040,Gariepy Neighborhood and Alley Reconstruction,Pay-As-You-Go (PAYG),Pay-As-You-Go,691000.00
2024,Neighbourhoods,Building Great Neighbourhoods,23-40-9040,Gariepy Neighborhood and Alley Reconstruction,Reserves,Neighborhood Renewal Reserve,9976000.00
2024,Neighbourhoods,Building Great Neighbourhoods,24-40-9048,Glenwood (163 Street West) Neighbourhood and Alley Reconstruction,Reserves,Neighborhood Renewal Reserve,888000.00
2024,Neighbourhoods,Building Great Neighbourhoods,CM-21-5800,Great Neighbourhoods Initiative,Tax-Supported Debt,Tax-Supported Debt,4000.00
2024,Neighbourhoods,Building Great Neighbourhoods,23-40-9041,Hairsine Neighborhood and Alley Reconstruction,Local Improvements,Local Improvements Property Share,260000.00
2024,Neighbourhoods,Building Great Neighbourhoods,23-40-9041,Hairsine Neighborhood and Alley Reconstruction,Reserves,Neighborhood Renewal Reserve,9272000.00
2024,Neighbourhoods,Building Great Neighbourhoods,24-40-9047,Hillview Neighbourhood and Alley Reconstruction,Pay-As-You-Go (PAYG),Pay-As-You-Go,300000.00
2024,Neighbourhoods,Building Great Neighbourhoods,24-40-9047,Hillview Neighbourhood and Alley Reconstruction,Reserves,Neighborhood Renewal Reserve,565000.00
2024,Neighbourhoods,Building Great Neighbourhoods,23-40-9035,Kilkenny Alley Reconstruction,Reserves,Neighborhood Renewal Reserve,4381000.00
2024,Neighbourhoods,Building Great Neighbourhoods,23-40-9032,McCauley Neighbourhood and Alley Reconstruction,Local Improvements,Local Improvements Property Share,987000.00
2024,Neighbourhoods,Building Great Neighbourhoods,23-40-9032,McCauley Neighbourhood and Alley Reconstruction,Pay-As-You-Go (PAYG),Pay-As-You-Go,267000.00
2024,Neighbourhoods,Building Great Neighbourhoods,23-40-9032,McCauley Neighbourhood and Alley Reconstruction,Reserves,Neighborhood Renewal Reserve,24904000.00
2024,Neighbourhoods,Building Great Neighbourhoods,23-40-9042,Meyokumin Neighborhood and Alley Reconstruction,Pay-As-You-Go (PAYG),Pay-As-You-Go,430000.00
2024,Neighbourhoods,Building Great Neighbourhoods,23-40-9042,Meyokumin Neighborhood and Alley Reconstruction,Reserves,Neighborhood Renewal Reserve,4155000.00
2024,Neighbourhoods,Building Great Neighbourhoods,20-40-9021,NARP Recon - King Edward Park Alleys,Reserves,Neighborhood Renewal Reserve,1000.00
2024,Neighbourhoods,Building Great Neighbourhoods,23-30-9323,Northern Lights & South Haven Cemetery Phase 1B,Reserves,Cemetery Reserve,121000.00
2024,Neighbourhoods,Building Great Neighbourhoods,CM-66-4000,NRP NBHD Renewal - Composite,Reserves,Neighborhood Renewal Reserve,48000.00
2024,Neighbourhoods,Building Great Neighbourhoods,19-40-9010,NRP Recon - Alberta Avenue,Reserves,Neighborhood Renewal Reserve,239000.00
2024,Neighbourhoods,Building Great Neighbourhoods,21-66-4036,NRP Recon - Allendale,Reserves,Neighborhood Renewal Reserve,3000.00
2024,Neighbourhoods,Building Great Neighbourhoods,14-66-1083,NRP Recon - Belgravia,Reserves,Neighborhood Renewal Reserve,14000.00
2024,Neighbourhoods,Building Great Neighbourhoods,16-66-4015,NRP Recon - Bellevue,Reserves,Neighborhood Renewal Reserve,1000.00
2024,Neighbourhoods,Building Great Neighbourhoods,21-40-9024,NRP Recon - Calder,Reserves,Neighborhood Renewal Reserve,773000.00
2024,Neighbourhoods,Building Great Neighbourhoods,19-40-9011,NRP Recon - Central McDougall,Reserves,Neighborhood Renewal Reserve,97000.00
2024,Neighbourhoods,Building Great Neighbourhoods,21-40-9025,NRP Recon - Garneau,Reserves,Neighborhood Renewal Reserve,1422000.00
2024,Neighbourhoods,Building Great Neighbourhoods,14-66-1068,NRP Recon - Glenora,Reserves,Neighborhood Renewal Reserve,99000.00
2024,Neighbourhoods,Building Great Neighbourhoods,20-40-9018,NRP Recon - Grandview Heights,Reserves,Neighborhood Renewal Reserve,11000.00
2024,Neighbourhoods,Building Great Neighbourhoods,19-40-9012,NRP Recon - Highlands,Reserves,Neighborhood Renewal Reserve,592000.00
2024,Neighbourhoods,Building Great Neighbourhoods,19-40-9013,NRP Recon - Inglewood,Reserves,Neighborhood Renewal Reserve,215000.00
2024,Neighbourhoods,Building Great Neighbourhoods,21-40-9026,NRP Recon - Malmo Plains,Reserves,Neighborhood Renewal Reserve,117000.00
2024,Neighbourhoods,Building Great Neighbourhoods,15-66-4010,NRP Recon - Montrose,Reserves,Neighborhood Renewal Reserve,-7000.00
2024,Neighbourhoods,Building Great Neighbourhoods,13-66-1052,NRP Recon - Queen Alexandra,Reserves,Neighborhood Renewal Reserve,2000.00
2024,Neighbourhoods,Building Great Neighbourhoods,19-40-9015,NRP Recon - Royal Gardens,Reserves,Neighborhood Renewal Reserve,11000.00
2024,Neighbourhoods,Building Great Neighbourhoods,18-66-4024,NRP Recon - Spruce Avenue,Reserves,Neighborhood Renewal Reserve,9000.00
2024,Neighbourhoods,Building Great Neighbourhoods,19-40-9014,NRP Recon - Strathcona,Reserves,Neighborhood Renewal Reserve,640000.00
2024,Neighbourhoods,Building Great Neighbourhoods,15-66-4013,NRP Recon - Strathearn,Reserves,Neighborhood Renewal Reserve,4000.00
2024,Neighbourhoods,Building Great Neighbourhoods,21-40-9023,NRP/NARP Recon - Beaumaris Neighbourhood and Alleys,Reserves,Neighborhood Renewal Reserve,57000.00
2024,Neighbourhoods,Building Great Neighbourhoods,23-40-9033,Ottewell Neighbourhood Reconstruction,Local Improvements,Local Improvements Property Share,1332000.00
2024,Neighbourhoods,Building Great Neighbourhoods,23-40-9033,Ottewell Neighbourhood Reconstruction,Pay-As-You-Go (PAYG),Pay-As-You-Go,350000.00
2024,Neighbourhoods,Building Great Neighbourhoods,23-40-9033,Ottewell Neighbourhood Reconstruction,Reserves,Neighborhood Renewal Reserve,26450000.00
2024,Neighbourhoods,Building Great Neighbourhoods,24-40-9049,Overlanders and Homesteader Neighbourhoods Reconstruction,Pay-As-You-Go (PAYG),Pay-As-You-Go,310000.00
2024,Neighbourhoods,Building Great Neighbourhoods,24-40-9049,Overlanders and Homesteader Neighbourhoods Reconstruction,Reserves,Neighborhood Renewal Reserve,1035000.00
2024,Neighbourhoods,Building Great Neighbourhoods,23-40-9036,"Pollard Meadows, Daly Grove, Crawford Plains Alley Reconstruction",Reserves,Neighborhood Renewal Reserve,4997000.00
2024,Neighbourhoods,Building Great Neighbourhoods,23-40-9037,Royal Gardens and Rideau Park Alley Reconstruction,Reserves,Neighborhood Renewal Reserve,4870000.00
2024,Neighbourhoods,Building Great Neighbourhoods,23-40-9046,Strathearn Alley Reconstruction,Reserves,Neighborhood Renewal Reserve,2653000.00
2024,Parks,Building Great Neighbourhoods,19-30-1100,Beaumaris Lake Open Space Rehabilitation,Pay-As-You-Go (PAYG),Pay-As-You-Go,2000.00
2024,Parks,Building Great Neighbourhoods,23-30-9322,Beaver Hills House/Michael Phair Parks Upgrades,Community Revitalization Levy,Debt CRL Downtown,2478000.00
2024,Parks,Building Great Neighbourhoods,23-30-9322,Beaver Hills House/Michael Phair Parks Upgrades,Reserves,Neighborhood Renewal Reserve,20000.00
2024,Parks,Building Great Neighbourhoods,21-10-9104,Centennial Plaza Renewal,Community Revitalization Levy,Debt CRL Downtown,1569000.00
2024,Parks,Building Great Neighbourhoods,21-10-9104,Centennial Plaza Renewal,Grants,Canada Community Revitalization Fund (CCRF),530000.00
2024,Parks,Building Great Neighbourhoods,21-10-9104,Centennial Plaza Renewal,Reserves,Corporate Tree Reserve,60000.00
2024,Parks,Building Great Neighbourhoods,21-10-9104,Centennial Plaza Renewal,Tax-Supported Debt,Tax-Supported Debt,500000.00
2024,Parks,Building Great Neighbourhoods,24-32-9430,Clarke Stadium Artificial Turf Renewal,Grants,Local Government Fiscal Framework,2952000.00
2024,Parks,Building Great Neighbourhoods,24-32-9430,Clarke Stadium Artificial Turf Renewal,Pay-As-You-Go (PAYG),Pay-As-You-Go,109000.00
2024,Parks,Building Great Neighbourhoods,21-32-9100,Confederation District Park Renewal,Pay-As-You-Go (PAYG),Pay-As-You-Go,2106000.00
2024,Parks,Building Great Neighbourhoods,21-30-9303,Glengarry District Park Renewal,Pay-As-You-Go (PAYG),Pay-As-You-Go,172000.00
2024,Parks,Building Great Neighbourhoods,18-28-1014,Heritage Valley District Park,Pay-As-You-Go (PAYG),Pay-As-You-Go,373000.00
2024,Parks,Building Great Neighbourhoods,21-30-9304,Keswick East Park Development,Grants,Canada Community-Building Fund (CCBF),19000.00
2024,Parks,Building Great Neighbourhoods,21-30-9304,Keswick East Park Development,Pay-As-You-Go (PAYG),Pay-As-You-Go,9000.00
2024,Parks,Building Great Neighbourhoods,21-30-9305,Keswick West Park Development,Grants,Canada Community-Building Fund (CCBF),15000.00
2024,Parks,Building Great Neighbourhoods,21-30-9305,Keswick West Park Development,Pay-As-You-Go (PAYG),Pay-As-You-Go,6000.00
2024,Parks,Building Great Neighbourhoods,21-30-9301,Kinistinaw Park Phase II,Community Revitalization Levy,Debt CRL Quarters,19000.00
